Employee ID,First Name,Last Name,Gender,Region,City,Hire Date,Department,Job Title,Education Level,Performance Rating,Overtime,Salary (£),Birth Date,Termination Date,Adjusted Salary (£)
E10000,Sandra,Wilson,Male,Scotland,Aberdeen,2017-02-03,IT,Software Engineer,Bachelor's,Excellent,No,62478,1966-02-02,,63727.56
E10001,Vanessa,Clarke,Female,North West,Manchester,2017-12-23,Sales,Sales Executive,Bachelor's,Satisfactory,No,30034,1995-05-01,,30034.0
E10002,Marie,Foster,Female,London,Harrow,2022-03-21,Customer Service,Customer Service Manager,Bachelor's,Good,No,40268,1985-07-14,,40268.0
E10003,Gemma,Hodgson,Female,London,London,2022-08-11,Finance,Accountant,Bachelor's,Excellent,Yes,36647,2000-01-18,,36647.0
E10004,Frances,Moore,Female,London,London,2018-05-16,IT,IT Support Technician,Diploma,Excellent,No,32791,1966-04-05,,32791.0
E10005,Martyn,Brown,Male,Scotland,Glasgow,2017-05-25,Operations,Logistics Coordinator,Diploma,Good,No,41950,1984-04-06,2024-10-31,42789.0
E10006,Charles,Davies,Male,Midlands,Birmingham,2022-12-15,IT,Data Analyst,Bachelor's,Good,Yes,44032,1982-10-04,,44912.64
E10007,Ricky,Webster,Female,South East,Southampton,2021-07-11,Sales,Business Development Executive,Diploma,Excellent,No,44995,1965-02-25,,44995.0
E10008,Keith,Coates,Male,South East,Southampton,2024-04-18,Operations,Operations Manager,Master's,Good,Yes,58611,1975-02-08,,62772.381
E10009,Neil,Norman,Female,Scotland,Aberdeen,2016-09-04,Operations,Logistics Coordinator,Diploma,Satisfactory,Yes,33249,1990-10-31,,33249.0
E10010,Abdul,James,Male,London,London,2024-06-23,HR,Recruitment Consultant,Bachelor's,Satisfactory,No,37856,1967-03-13,2025-04-21,38613.12
E10011,Jodie,Giles,Female,Scotland,Aberdeen,2024-05-05,Customer Service,Customer Service Advisor,Diploma,Good,No,33404,1998-01-09,2025-07-23,33404.0
E10012,Sharon,Sinclair,Male,London,Croydon,2023-09-22,Finance,Auditor,Bachelor's,Satisfactory,No,47127,1971-02-23,,48069.54
E10013,Judith,Taylor,Female,North West,Manchester,2020-04-19,Customer Service,Call Centre Agent,A-Level,Good,No,29194,1991-09-07,,29194.0
E10014,Holly,Harris,Female,North West,Liverpool,2022-08-14,Customer Service,Customer Service Advisor,Diploma,Good,No,33891,1985-06-22,,33891.0
E10015,Louise,Miah,Female,London,Harrow,2021-09-19,IT,IT Support Technician,Diploma,Needs Improvement,Yes,28362,1972-10-16,,28362.0
E10016,Paige,Tomlinson,Female,North West,Manchester,2019-09-26,Operations,Supply Chain Analyst,Bachelor's,Excellent,No,49216,1977-02-07,,49216.0
E10017,Shirley,Williams,Male,North West,Liverpool,2021-11-05,Sales,Sales Executive,Bachelor's,Satisfactory,No,41639,1965-06-03,2023-02-08,42471.78
E10018,Terry,Richards,Female,South East,Brighton,2019-07-29,HR,HR Officer,Bachelor's,Excellent,Yes,37430,1992-09-22,,37430.0
E10019,Eric,Pearson,Male,Midlands,Leicester,2016-10-20,IT,IT Support Technician,Diploma,Satisfactory,No,35601,1964-10-03,,36313.020000000004
E10020,Sara,Ellis,Male,Scotland,Aberdeen,2019-11-05,Sales,Business Development Executive,Diploma,Needs Improvement,Yes,42426,1979-10-24,,43274.520000000004
E10021,Kelly,Kelly,Female,North West,Preston,2017-10-07,Customer Service,Customer Service Manager,Bachelor's,Excellent,No,45699,1977-08-30,2020-11-04,45699.0
E10022,Jay,Edwards,Male,Scotland,Glasgow,2023-07-27,Customer Service,Customer Service Advisor,Diploma,Satisfactory,No,25494,1981-01-29,,26003.88
